domainID,siteID,plotID,trapID,nlcdClass,decimalLatitude,decimalLongitude,elevation,MDS1,MDS2
D03,DSNY,DSNY_001,S,woodyWetlands,28.096518,-81.418577,19,0.707858529,1.516293374
D03,DSNY,DSNY_016,S,pastureHay,28.043766,-81.393638,18,0.22605121,1.465970726
D03,DSNY,DSNY_002,W,woodyWetlands,28.048246,-81.417087,16,0.929659734,1.74096405
D03,DSNY,DSNY_016,W,pastureHay,28.043945,-81.393842,18,0.262020924,1.250035562
D03,DSNY,DSNY_006,E,woodyWetlands,28.092965,-81.399131,19,0.675885392,1.389960193
D03,DSNY,DSNY_005,W,woodyWetlands,28.03964,-81.393521,17.8,0.903627066,1.638651971
D03,DSNY,DSNY_001,W,woodyWetlands,28.096698,-81.418781,19,0.903627066,1.638651971
D03,DSNY,DSNY_002,E,woodyWetlands,28.048247,-81.41668,16,0.745535889,1.891676555
D03,DSNY,DSNY_005,E,woodyWetlands,28.039642,-81.393114,17.8,0.510486379,1.378349826
D03,DSNY,DSNY_006,W,woodyWetlands,28.092964,-81.399538,19,0.676684567,1.268939354
D03,DSNY,DSNY_007,W,woodyWetlands,28.05311,-81.417706,16.1,0.688061365,1.697401303
D03,JERC,JERC_007,N,evergreenForest,31.198812,-84.476307,36.8,0.791531761,1.868436385
D03,JERC,JERC_001,N,deciduousForest,31.194498,-84.477072,37.9,0.532506223,1.182451442
